Date,Open,High,Low,Close,Volume,Change
2020-09-25,37500,38350,37050,38200,1918648,0.026881720430107503
2020-09-28,38300,38450,38000,38200,988581,0.0
2020-09-29,38700,38750,37550,37550,1950270,-0.017015706806282727
2020-10-05,37200,39450,37200,39050,2800737,0.03994673768308932
2020-10-06,39450,39950,38650,39000,1696809,-0.001280409731113985
2020-10-07,39200,39900,38400,39900,1673843,0.023076923076922995
2020-10-08,40000,40200,39400,39850,1601362,-0.0012531328320801727
2020-10-12,40000,40800,39800,40750,2172164,0.02258469259723972
2020-10-13,40850,41150,40050,40200,1829831,-0.013496932515337456
2020-10-14,40100,40200,38750,38750,2599729,-0.03606965174129351
2020-10-15,38600,39250,38550,39050,1506358,0.007741935483871032
2020-10-16,39500,40000,39200,39400,1459454,0.008962868117797784
2020-10-19,39850,41450,39700,40700,2737109,0.03299492385786795
2020-10-20,40500,41100,40050,40750,1531385,0.0012285012285011554
2020-10-21,40750,41700,40450,41450,2378411,0.01717791411042935
2020-10-22,41300,42300,40700,41900,2432512,0.010856453558504287
2020-10-23,42500,43000,41900,42250,2912806,0.00835322195704058
2020-10-26,42250,43000,41600,42400,2149785,0.0035502958579882726
2020-10-27,42200,42200,41200,41750,2088168,-0.015330188679245293
2020-10-28,41050,42250,41000,42050,1186091,0.007185628742514938
2020-10-29,41250,41400,40550,41000,1903504,-0.024970273483947647
2020-10-30,40750,41450,39850,40100,1936145,-0.02195121951219514
2020-11-02,40300,42150,40300,42000,1789683,0.04738154613466339
2020-11-03,42750,42900,42050,42650,1535972,0.015476190476190421
2020-11-04,43200,43450,40950,41550,2640754,-0.02579132473622514
2020-11-05,41650,43000,41600,42900,2077254,0.032490974729241895
2020-11-06,42900,43150,42500,42650,1403645,-0.005827505827505797
2020-11-09,42850,43600,42800,42950,1350713,0.00703399765533419
2020-11-10,44850,45500,44000,44700,2913985,0.04074505238649584
2020-11-11,45450,47400,45300,47250,3407691,0.057046979865771785
2020-11-12,47350,47350,46100,46350,2889973,-0.01904761904761909
2020-11-13,45500,45750,44600,44950,2255917,-0.030204962243797207
2020-11-16,45050,46600,45000,45700,1772076,0.016685205784204626
2020-11-17,45800,46650,45700,46550,1689140,0.018599562363238453
2020-11-18,46500,46850,46000,46850,1275215,0.0064446831364124435
2020-11-19,46100,46500,45550,46500,1470408,-0.007470651013874119
2020-11-20,45800,46400,45600,45650,1899507,-0.018279569892473146
2020-11-23,45800,46750,45600,46450,1540532,0.017524644030668224
2020-11-24,46500,46700,45950,46400,1507329,-0.0010764262648008671
2020-11-25,47000,48400,46900,48300,3209922,0.04094827586206895
2020-11-26,47650,48450,47300,48450,1974752,0.0031055900621117516
2020-11-27,47800,48300,47500,47950,1215135,-0.01031991744066052
2020-11-30,47650,47950,45350,45350,3803160,-0.05422314911366011
2020-12-01,45750,46700,45650,45900,2394959,0.012127894156560126
2020-12-02,46300,46800,45950,46800,1879336,0.019607843137254832
2020-12-03,46900,47250,46350,47150,1606091,0.007478632478632452
2020-12-04,47050,47700,46700,47200,1743151,0.0010604453870626251
2020-12-07,47200,47250,46100,47200,1834090,0.0
2020-12-08,46600,46750,45500,45900,2687147,-0.02754237288135597
2020-12-09,45550,46550,45500,46150,1883856,0.005446623093681824
