Date,Open,High,Low,Close,Volume,Change
2020-07-14,950000,965000,938000,946000,91158,-0.01968911917098448
2020-07-15,945000,958000,925000,928000,110775,-0.019027484143763207
2020-07-16,915000,923000,875000,879000,199187,-0.05280172413793105
2020-07-17,872000,897000,871000,880000,84865,0.0011376564277587597
2020-07-20,880000,881000,848000,859000,117063,-0.02386363636363631
2020-07-21,860000,876000,856000,859000,127020,0.0
2020-07-22,852000,866000,835000,861000,93362,0.002328288707799775
2020-07-23,844000,850000,805000,811000,339183,-0.058072009291521454
2020-07-24,805000,828000,796000,802000,197544,-0.011097410604192337
2020-07-27,797000,807000,785000,785000,145319,-0.021197007481296715
2020-07-28,788000,803000,786000,794000,177440,0.01146496815286624
2020-07-29,797000,824000,796000,812000,179741,0.02267002518891692
2020-07-30,817000,832000,807000,825000,137745,0.016009852216748666
2020-07-31,832000,832000,810000,811000,101033,-0.016969696969696968
2020-08-03,815000,844000,813000,844000,152000,0.040690505548705236
2020-08-04,852000,860000,827000,846000,122293,0.0023696682464455776
2020-08-05,841000,847000,836000,846000,69372,0.0
2020-08-06,846000,854000,840000,854000,98102,0.009456264775413725
2020-08-07,860000,885000,856000,865000,141611,0.012880562060889833
2020-08-10,866000,866000,835000,841000,112532,-0.02774566473988438
2020-08-11,827000,846000,812000,840000,113783,-0.0011890606420927874
2020-08-12,836000,850000,827000,850000,94342,0.011904761904761862
2020-08-13,840000,905000,834000,897000,363276,0.055294117647058716
2020-08-14,898000,898000,859000,872000,133502,-0.027870680044593144
2020-08-18,877000,887000,824000,834000,170816,-0.04357798165137616
2020-08-19,836000,849000,822000,841000,175606,0.008393285371702586
2020-08-20,833000,843000,780000,783000,271930,-0.06896551724137934
2020-08-21,799000,825000,792000,823000,158623,0.05108556832694755
2020-08-24,830000,842000,810000,841000,106150,0.021871202916160293
2020-08-25,838000,841000,817000,826000,101156,-0.017835909631391256
2020-08-26,827000,830000,816000,818000,93233,-0.009685230024213065
2020-08-27,822000,867000,821000,863000,232351,0.055012224938875365
2020-08-28,865000,865000,843000,856000,99519,-0.008111239860950192
2020-08-31,859000,862000,822000,825000,135345,-0.03621495327102808
2020-09-01,821000,834000,819000,828000,98347,0.0036363636363636598
2020-09-02,840000,855000,834000,850000,108559,0.02657004830917864
2020-09-03,848000,850000,833000,835000,70056,-0.01764705882352946
2020-09-04,813000,825000,808000,813000,123738,-0.026347305389221587
2020-09-07,816000,819000,809000,812000,69441,-0.0012300123001229846
2020-09-08,814000,818000,809000,811000,54468,-0.0012315270935960854
2020-09-09,803000,809000,791000,791000,102424,-0.024660912453760786
2020-09-10,803000,839000,798000,830000,172103,0.04930467762326174
2020-09-11,827000,839000,810000,818000,99961,-0.014457831325301207
2020-09-14,824000,830000,806000,830000,72282,0.014669926650366705
2020-09-15,820000,833000,817000,824000,70656,-0.0072289156626506035
2020-09-16,827000,848000,822000,822000,91741,-0.0024271844660194164
2020-09-17,821000,822000,802000,805000,91497,-0.020681265206812682
2020-09-18,810000,823000,806000,821000,83953,0.019875776397515477
2020-09-21,812000,827000,804000,804000,65547,-0.020706455542021884
2020-09-22,807000,813000,785000,787000,101535,-0.021144278606965217
2020-09-23,790000,811000,787000,805000,107700,0.02287166454891998
2020-09-24,796000,799000,785000,787000,81161,-0.022360248447204967
2020-09-25,797000,797000,778000,784000,67824,-0.003811944091486663
2020-09-28,794000,808000,784000,799000,76993,0.01913265306122458
2020-09-29,809000,810000,791000,806000,76019,0.008760951188986343
2020-10-05,810000,811000,780000,789000,111800,-0.021091811414392092
2020-10-06,794000,795000,786000,788000,69582,-0.0012674271229404788
2020-10-07,781000,785000,761000,768000,172973,-0.025380710659898442
2020-10-08,750000,768000,750000,751000,226092,-0.02213541666666663
2020-10-12,755000,763000,750000,754000,123601,0.003994673768308976
2020-10-13,755000,760000,751000,754000,77742,0.0
2020-10-14,751000,758000,751000,752000,94309,-0.0026525198938992522
2020-10-15,750000,756000,746000,750000,72571,-0.0026595744680850686
2020-10-16,753000,774000,746000,767000,135943,0.022666666666666613
2020-10-19,774000,781000,770000,771000,105467,0.0052151238591917615
2020-10-20,780000,796000,773000,794000,147983,0.0298313878080414
2020-10-21,799000,813000,794000,809000,108005,0.018891687657430767
2020-10-22,807000,820000,798000,811000,85163,0.0024721878862794533
2020-10-23,816000,816000,791000,796000,80718,-0.018495684340320562
2020-10-26,794000,809000,788000,796000,49132,0.0
2020-10-27,785000,800000,780000,782000,81633,-0.017587939698492483
2020-10-28,776000,803000,775000,802000,78286,0.025575447570332477
2020-10-29,795000,815000,793000,813000,88029,0.013715710723191998
2020-10-30,811000,813000,774000,776000,92285,-0.045510455104551095
2020-11-02,782000,795000,777000,778000,48696,0.002577319587628857
2020-11-03,778000,792000,778000,782000,48350,0.005141388174807249
2020-11-04,791000,838000,787000,837000,197108,0.07033248081841426
2020-11-05,847000,847000,826000,843000,108701,0.007168458781362075
2020-11-06,836000,848000,830000,848000,91315,0.005931198102016699
2020-11-09,841000,852000,838000,844000,71482,-0.004716981132075526
2020-11-10,802000,818000,797000,797000,172812,-0.055687203791469186
2020-11-11,783000,807000,783000,801000,116090,0.005018820577164407
2020-11-12,796000,810000,791000,791000,102690,-0.012484394506866447
2020-11-13,791000,809000,791000,808000,70746,0.02149178255372952
2020-11-16,808000,811000,795000,800000,103301,-0.00990099009900991
2020-11-17,794000,794000,782000,789000,105203,-0.01375000000000004
2020-11-18,783000,808000,783000,800000,77490,0.013941698352344822
2020-11-19,798000,830000,798000,828000,111578,0.03499999999999992
2020-11-20,831000,832000,814000,828000,78708,0.0
2020-11-23,840000,840000,818000,822000,84643,-0.007246376811594235
2020-11-24,818000,822000,810000,820000,84186,-0.0024330900243308973
2020-11-25,820000,822000,805000,805000,116634,-0.018292682926829285
2020-11-26,803000,816000,803000,816000,67165,0.013664596273291973
2020-11-27,811000,829000,810000,822000,78210,0.007352941176470562
2020-11-30,820000,822000,810000,810000,122666,-0.014598540145985384
2020-12-01,821000,860000,815000,852000,193153,0.051851851851851816
2020-12-02,856000,865000,846000,859000,129594,0.008215962441314506
2020-12-03,882000,897000,860000,878000,154197,0.022118742724097862
2020-12-04,861000,874000,860000,867000,87676,-0.01252847380410027
2020-12-07,876000,878000,859000,871000,86365,0.0046136101499423265
2020-12-08,875000,878000,859000,874000,79721,0.003444316877152742
2020-12-09,881000,900000,875000,879000,123243,0.005720823798627039
2020-12-10,869000,884000,859000,878000,116303,-0.0011376564277588708
2020-12-11,897000,897000,880000,888000,75400,0.011389521640091216
2020-12-14,896000,903000,885000,885000,118049,-0.0033783783783783994
2020-12-15,887000,889000,867000,875000,74491,-0.011299435028248594
2020-12-16,872000,884000,866000,868000,72835,-0.008000000000000007
2020-12-17,870000,875000,864000,868000,66222,0.0
2020-12-18,871000,881000,863000,863000,75312,-0.005760368663594417
2020-12-21,863000,867000,851000,864000,62278,0.0011587485515642815
2020-12-22,865000,876000,859000,865000,84346,0.0011574074074074403
2020-12-23,873000,899000,870000,888000,141506,0.026589595375722475
2020-12-24,894000,903000,888000,897000,96941,0.010135135135135087
2020-12-28,898000,903000,888000,898000,112704,0.0011148272017837968
2020-12-29,899000,919000,899000,913000,139932,0.016703786191536674
2020-12-30,913000,934000,911000,931000,118667,0.019715224534501585
2021-01-04,949000,985000,935000,978000,151790,0.050483351235230955
2021-01-05,973000,993000,960000,985000,122865,0.007157464212679043
2021-01-06,991000,997000,950000,953000,169260,-0.03248730964467006
2021-01-07,962000,963000,939000,947000,118410,-0.006295907660020972
2021-01-08,956000,1000000,949000,995000,198693,0.05068637803590281
2021-01-11,993000,1006000,955000,978000,220317,-0.0170854271356784
2021-01-12,963000,969000,926000,947000,192743,-0.0316973415132924
2021-01-13,946000,955000,933000,940000,123066,-0.007391763463569179
2021-01-14,932000,946000,930000,939000,97237,-0.0010638297872340718
2021-01-15,946000,960000,933000,935000,110598,-0.004259850905218299
2021-01-18,935000,949000,927000,938000,100252,0.0032085561497325887
2021-01-19,949000,968000,944000,957000,100320,0.02025586353944564
2021-01-20,969000,969000,950000,965000,93411,0.008359456635318674
2021-01-21,961000,974000,959000,970000,68683,0.005181347150259086
2021-01-22,971000,1000000,963000,989000,135835,0.019587628865979312
2021-01-25,989000,996000,972000,995000,80768,0.006066734074823055
2021-01-26,992000,997000,950000,953000,127191,-0.042211055276381915
2021-01-27,963000,992000,962000,978000,108151,0.026232948583420734
2021-01-28,960000,985000,951000,968000,98895,-0.010224948875255602
2021-01-29,962000,967000,940000,953000,141061,-0.015495867768595017
2021-02-01,953000,953000,935000,953000,83021,0.0
2021-02-02,956000,995000,954000,984000,132535,0.03252885624344182
2021-02-03,1003000,1032000,997000,1008000,201313,0.024390243902439046
2021-02-04,1002000,1005000,958000,962000,138692,-0.045634920634920584
2021-02-05,970000,977000,959000,976000,74762,0.01455301455301461
2021-02-08,994000,1048000,991000,1038000,239999,0.06352459016393452
2021-02-09,1028000,1036000,1002000,1006000,135965,-0.030828516377649273
2021-02-10,1018000,1046000,993000,1027000,154288,0.020874751491053667
2021-02-15,1026000,1027000,993000,999000,111745,-0.027263875365141188
2021-02-16,1001000,1019000,993000,1015000,85534,0.0160160160160161
2021-02-17,993000,1005000,988000,999000,88009,-0.015763546798029604
2021-02-18,1005000,1009000,991000,995000,69587,-0.004004004004004025
2021-02-19,993000,1005000,975000,997000,82183,0.0020100502512563345
2021-02-22,993000,997000,929000,931000,216700,-0.06619859578736209
2021-02-23,934000,945000,927000,931000,127023,0.0
2021-02-24,941000,969000,930000,934000,161574,0.0032223415682062218
2021-02-25,963000,973000,951000,972000,95195,0.04068522483940051
2021-02-26,951000,964000,932000,936000,130379,-0.03703703703703709
2021-03-02,949000,980000,940000,946000,113384,0.010683760683760646
2021-03-03,948000,964000,943000,962000,69600,0.016913319238900604
2021-03-04,960000,972000,946000,960000,97325,-0.0020790020790020236
2021-03-05,947000,950000,926000,931000,127784,-0.03020833333333328
2021-03-08,931000,942000,926000,931000,86957,0.0
2021-03-09,934000,937000,927000,931000,92247,0.0
2021-03-10,936000,944000,928000,932000,70912,0.0010741138560688146
2021-03-11,931000,944000,927000,931000,97451,-0.0010729613733905241
2021-03-12,936000,945000,932000,935000,47055,0.004296455424275036
2021-03-15,935000,937000,927000,930000,58908,-0.005347593582887722
2021-03-16,935000,965000,930000,954000,82668,0.02580645161290329
2021-03-17,959000,972000,937000,940000,70627,-0.014675052410901501
2021-03-18,946000,956000,934000,939000,67977,-0.0010638297872340718
2021-03-19,931000,943000,929000,933000,75701,-0.006389776357827448
2021-03-22,933000,940000,927000,932000,90722,-0.001071811361200381
2021-03-23,932000,939000,930000,931000,78190,-0.0010729613733905241
2021-03-24,937000,939000,930000,936000,48361,0.005370569280343629
2021-03-25,932000,934000,892000,906000,190165,-0.03205128205128205
2021-03-26,902000,909000,884000,898000,173281,-0.008830022075055233
2021-03-29,890000,890000,829000,834000,343144,-0.07126948775055675
2021-03-30,834000,852000,834000,845000,180279,0.01318944844124692
2021-03-31,857000,884000,851000,873000,152553,0.03313609467455625
2021-04-01,885000,887000,868000,875000,91499,0.002290950744558984
2021-04-02,880000,895000,877000,885000,52468,0.011428571428571344
2021-04-05,885000,890000,875000,885000,39659,0.0
2021-04-06,880000,887000,868000,870000,79923,-0.016949152542372836
2021-04-07,870000,878000,861000,868000,65101,-0.0022988505747126853
2021-04-08,868000,900000,862000,899000,127478,0.03571428571428581
2021-04-09,899000,933000,891000,925000,109902,0.028921023359288034
2021-04-12,910000,923000,901000,906000,60204,-0.020540540540540553
2021-04-13,901000,914000,889000,914000,76606,0.008830022075055233
2021-04-14,905000,920000,904000,916000,57371,0.002188183807439792
2021-04-15,912000,930000,908000,920000,61393,0.004366812227074135
2021-04-16,918000,923000,911000,912000,81063,-0.008695652173912993
2021-04-19,907000,907000,890000,894000,85734,-0.019736842105263164
2021-04-20,894000,901000,880000,882000,89387,-0.01342281879194629
2021-04-21,882000,884000,855000,857000,132714,-0.028344671201814053
2021-04-22,859000,862000,845000,850000,118343,-0.008168028004667427
2021-04-23,854000,855000,845000,849000,64336,-0.0011764705882353343
2021-04-26,844000,861000,835000,861000,125444,0.014134275618374659
2021-04-27,859000,862000,851000,858000,53668,-0.0034843205574912606
2021-04-28,858000,858000,835000,835000,76542,-0.026806526806526842
2021-04-29,832000,847000,831000,837000,70652,0.0023952095808383866
2021-04-30,832000,846000,828000,830000,79050,-0.008363201911589013
2021-05-03,837000,837000,818000,820000,53108,-0.012048192771084376
2021-05-04,815000,820000,802000,818000,72026,-0.0024390243902439046
2021-05-06,813000,815000,801000,806000,86423,-0.014669926650366705
2021-05-07,806000,844000,806000,830000,95745,0.02977667493796532
2021-05-10,816000,885000,810000,878000,257577,0.05783132530120483
2021-05-11,869000,869000,843000,850000,107129,-0.03189066059225509
2021-05-12,848000,851000,838000,847000,82939,-0.003529411764705892
2021-05-13,846000,847000,835000,841000,106031,-0.00708382526564344
2021-05-14,833000,842000,831000,831000,91373,-0.01189060642092743
2021-05-17,828000,835000,804000,815000,84788,-0.019253910950661868
2021-05-18,818000,834000,816000,823000,72893,0.009815950920245342
2021-05-20,822000,835000,806000,822000,107149,-0.0012150668286755595
2021-05-21,832000,854000,832000,853000,146618,0.03771289537712885
2021-05-24,851000,851000,832000,846000,68299,-0.008206330597889777
2021-05-25,841000,865000,841000,859000,72102,0.015366430260047359
2021-05-26,860000,873000,850000,856000,58256,-0.0034924330616996624
2021-05-27,856000,870000,848000,851000,134891,-0.005841121495327117
2021-05-28,842000,863000,842000,852000,69042,0.001175088131609936
2021-05-31,867000,875000,857000,868000,80686,0.018779342723004744
2021-06-01,873000,877000,864000,872000,54286,0.004608294930875667
2021-06-02,873000,879000,850000,854000,62526,-0.020642201834862428
2021-06-03,854000,859000,846000,851000,50460,-0.003512880562060894
2021-06-04,842000,849000,834000,843000,74482,-0.009400705052878933
2021-06-07,840000,852000,838000,843000,50361,0.0
2021-06-08,841000,853000,839000,843000,43630,0.0
2021-06-09,844000,870000,843000,858000,78067,0.017793594306049876
2021-06-10,860000,864000,846000,849000,81019,-0.010489510489510523
2021-06-11,851000,861000,838000,841000,89254,-0.009422850412249661
2021-06-14,841000,864000,840000,858000,55683,0.02021403091557672
2021-06-15,860000,869000,850000,853000,70241,-0.005827505827505797
2021-06-16,848000,857000,843000,848000,52423,-0.0058616647127783805
2021-06-17,843000,844000,822000,824000,128351,-0.028301886792452824
2021-06-18,827000,831000,818000,818000,87955,-0.007281553398058249
2021-06-21,819000,824000,815000,820000,57153,0.0024449877750611915
2021-06-22,822000,823000,811000,812000,67222,-0.009756097560975618
2021-06-23,818000,832000,814000,825000,85430,0.016009852216748666
2021-06-24,831000,839000,823000,830000,62944,0.0060606060606061
2021-06-25,822000,826000,817000,826000,54054,-0.004819277108433773
2021-06-28,823000,830000,818000,823000,38667,-0.003631961259079941
2021-06-29,848000,848000,820000,822000,81336,-0.0012150668286755595
2021-06-30,822000,828000,819000,820000,58171,-0.0024330900243308973
2021-07-01,822000,839000,821000,834000,91901,0.017073170731707332
2021-07-02,831000,834000,816000,818000,74312,-0.01918465227817745
2021-07-05,813000,828000,813000,826000,70101,0.009779951100244544
2021-07-06,829000,846000,826000,839000,91810,0.0157384987893463
2021-07-07,845000,846000,828000,834000,106417,-0.005959475566150174
2021-07-08,831000,838000,826000,834000,72782,0.0
2021-07-09,829000,830000,797000,800000,168113,-0.04076738609112707
2021-07-12,800000,801000,770000,772000,153684,-0.03500000000000003
2021-07-13,774000,777000,765000,777000,77487,0.006476683937823857
2021-07-14,777000,792000,777000,778000,81156,0.0012870012870012104
2021-07-15,779000,813000,777000,804000,130217,0.033419023136246784
2021-07-16,818000,840000,806000,839000,215329,0.04353233830845782
2021-07-19,836000,843000,825000,827000,75493,-0.014302741358760418
2021-07-20,823000,835000,814000,819000,69730,-0.0096735187424426
2021-07-21,827000,830000,804000,809000,74161,-0.012210012210012167
2021-07-22,807000,808000,790000,794000,106312,-0.018541409147095234
2021-07-23,794000,812000,794000,812000,59714,0.02267002518891692
2021-07-26,816000,832000,816000,823000,84115,0.013546798029556717
2021-07-27,832000,832000,804000,806000,79839,-0.020656136087484844
2021-07-28,812000,818000,805000,809000,71311,0.003722084367245637
2021-07-29,818000,845000,812000,841000,131076,0.0395550061804697
2021-07-30,838000,846000,823000,824000,79822,-0.02021403091557672
2021-08-02,833000,833000,810000,824000,68330,0.0
2021-08-03,827000,828000,803000,810000,90490,-0.016990291262135915
2021-08-04,805000,813000,796000,812000,62411,0.0024691358024691024
2021-08-05,813000,820000,810000,817000,54637,0.006157635467980205
2021-08-06,817000,824000,812000,823000,56948,0.007343941248469932
2021-08-09,811000,823000,810000,822000,57545,-0.0012150668286755595
2021-08-10,819000,827000,812000,815000,48300,-0.008515815085158196
2021-08-11,813000,814000,784000,790000,140713,-0.030674846625766916
2021-08-12,796000,806000,774000,806000,132552,0.020253164556962133
2021-08-13,806000,806000,780000,786000,106869,-0.02481389578163773
2021-08-17,786000,793000,766000,771000,96478,-0.01908396946564883
2021-08-18,766000,790000,763000,788000,97227,0.02204928664072625
2021-08-19,780000,858000,776000,853000,462871,0.0824873096446701
2021-08-20,859000,860000,820000,826000,213974,-0.03165298944900352
2021-08-23,835000,843000,820000,824000,98003,-0.002421307506053294
2021-08-24,829000,853000,822000,847000,148646,0.027912621359223344
2021-08-25,845000,853000,833000,837000,112832,-0.011806375442739103
2021-08-26,776000,788000,706000,709000,1048836,-0.15292712066905612
2021-08-27,686000,693000,650000,659000,1048784,-0.07052186177715092
2021-08-30,660000,661000,634000,649000,647555,-0.015174506828528056
2021-08-31,645000,660000,644000,660000,536884,0.016949152542372836
2021-09-01,652000,655000,635000,637000,416109,-0.034848484848484795
2021-09-02,635000,644000,627000,633000,325788,-0.006279434850863463
2021-09-03,633000,639000,621000,622000,339807,-0.017377567140600347
2021-09-06,623000,634000,621000,633000,318363,0.01768488745980701
2021-09-07,636000,637000,612000,616000,404637,-0.026856240126382325
2021-09-08,625000,626000,612000,612000,356279,-0.00649350649350644
2021-09-09,606000,613000,599000,611000,402540,-0.0016339869281045694
2021-09-10,608000,611000,601000,607000,192941,-0.006546644844517169
2021-09-13,608000,613000,585000,591000,311165,-0.02635914332784184
2021-09-14,587000,604000,585000,599000,215604,0.013536379018612488
2021-09-15,592000,603000,592000,596000,153174,-0.005008347245408995
2021-09-16,598000,602000,585000,589000,156629,-0.011744966442952975
2021-09-17,588000,592000,580000,587000,197939,-0.00339558573853993
2021-09-23,580000,599000,579000,584000,229079,-0.005110732538330498
2021-09-24,584000,599000,584000,596000,211003,0.020547945205479534
2021-09-27,592000,598000,582000,583000,169276,-0.021812080536912748
2021-09-28,582000,585000,571000,571000,167510,-0.020583190394511175
2021-09-29,561000,577000,558000,574000,172387,0.005253940455341555
2021-09-30,573000,618000,573000,603000,553567,0.05052264808362361
2021-10-01,608000,610000,593000,595000,236723,-0.013266998341625258
2021-10-05,586000,595000,562000,563000,264045,-0.05378151260504205
2021-10-06,565000,577000,559000,560000,196509,-0.005328596802841923
2021-10-07,561000,581000,561000,571000,181281,0.019642857142857073
2021-10-08,571000,585000,566000,578000,101743,0.012259194395796813
2021-10-12,573000,578000,555000,558000,151971,-0.03460207612456745
2021-10-13,559000,581000,559000,576000,158836,0.032258064516129004
2021-10-14,573000,584000,573000,582000,113142,0.01041666666666674
2021-10-15,585000,611000,585000,607000,246295,0.04295532646048117
2021-10-18,610000,610000,593000,596000,150754,-0.018121911037891292
